,checking_status,credit_history,credit_amount,savings,employment,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,class,Gender
0,A11,A34,1169,A65,A75,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,0.0,0
1,A12,A32,5951,A61,A73,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,1.0,1
2,A14,A34,2096,A61,A74,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,0.0,0
3,A11,A32,7882,A61,A74,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,0.0,0
4,A11,A33,4870,A61,A73,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,1.0,0
5,A14,A32,9055,A65,A73,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,0.0,0
6,A14,A32,2835,A63,A75,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,0.0,0
7,A12,A32,6948,A61,A73,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,0.0,0
8,A14,A32,3059,A64,A74,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,0.0,0
9,A12,A34,5234,A61,A71,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,1.0,0
10,A12,A32,1295,A61,A72,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,1.0,1
11,A11,A32,4308,A61,A72,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1.0,1
12,A12,A32,1567,A61,A73,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,0.0,1
13,A11,A34,1199,A61,A75,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,1.0,0
14,A11,A32,1403,A61,A73,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,0.0,1
15,A11,A32,1282,A62,A73,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,1.0,1
16,A14,A34,2424,A65,A75,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,0.0,0
17,A11,A30,8072,A65,A72,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,0.0,0
18,A12,A32,12579,A61,A75,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,1.0,1
19,A14,A32,3430,A63,A75,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,0.0,0
20,A14,A34,2134,A61,A73,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,0.0,0
21,A11,A32,2647,A63,A73,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,0.0,0
22,A11,A34,2241,A61,A72,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,0.0,0
23,A12,A34,1804,A62,A72,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,0.0,0
24,A14,A34,2069,A65,A73,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,0.0,0
25,A11,A32,1374,A61,A73,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,0.0,0
26,A14,A30,426,A61,A75,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,0.0,0
27,A13,A31,409,A64,A73,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,0.0,1
